fecha,medio,titulo,enlace,nivel_coincidencia,elenco_o_cuerpo,sentimiento,tema_principal,obra_mencionada,resumen_gemini,keywords_detectadas
2025-12-04 08:00,Melómano - La revista de música clásica,"Ignacio García-Vidal, titular de la Sinfónica de Uruguay - Melómano - La revista de música clásica",https://news.google.com/rss/articles/CBMikgFBVV95cUxNcnpTVGJ0S2xOXzVIUEQwRzZuNzlLY1ZQcGc5X3k1dVVfNW9fUUdqMFROamxWaWI5UDFoQ1AwMWpwRDR6cGFjMnBsb3hzSGpoaEw2aFBsRXJQdURQVjE0eE5JUkt5YW01UXUwNUlIUWhtTk5PMFNoc0JweVFENzJSSlVYOUpMWlZRX3FOWTRWMHFydw?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMikgFBVV95cUxNcnpTVGJ0S2xOXzVIUEQwRzZuNzlLY1ZQcGc5X3k1dVVfNW9fUUdqMFROamxWaWI5UDFoQ1AwMWpwRDR6cGFjMnBsb3hzSGpoaEw2aFBsRXJQdURQVjE0eE5JUkt5YW01UXUwNUlIUW",Sodre Uruguay
2025-02-24 08:00,GUB.UY,Acontecimiento histórico: Escuelas del Sodre inaugura sede propia - GUB.UY,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOemMyNEgtV3ItNFg4ZHhXMzhLTVF5LVNXc2pxTUtTZEU0MnQ4TjhwQktDc1AzZk5xem1jUklVNlBoMkd0Ui1QWmE1VlRQQy1uQjREaWNWYXFNcXdpUHBjRDNTNG9GOEwxR1gwSTBCbmtVdktMREdKNWNNYzNUNWFKN1FPME8xcnFUdTBGSHB5eXplWnB6VWRNeUV2TVZQU2JNeFo2V3FjM1lqcm1RaENNbkdUWEVfNkVJ?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMiuAFBVV95cUxOemMyNEgtV3ItNFg4ZHhXMzhLTVF5LVNXc2pxTUtTZEU0MnQ4TjhwQktDc1AzZk5xem1jUklVNlBoMkd0Ui1QWmE1VlRQQy1uQjREaWNWYXFNcXdpUHBjRDNTNG9GOEwxR1gwSTBCbm",Sodre Uruguay
2025-12-10 08:00,plateamagazine.com,"El alicantino Ignacio García-Vidal será el próximo director titular de la Orquesta Sinfónica Nacional del Sodre, en Uruguay - plateamagazine.com",https://news.google.com/rss/articles/CBMi7wFBVV95cUxQNENkR1VLc0d3Q3pRbi01cEdQdm5NWjNvRjlSdFhMTVI3ME1BLUp1aTdTaGdVNTRtSzFVQ1VqYmFXZy10QXRYVTZnS1FZNjdrS0k1NWtyemNMbW9BOGxTWHZvSVdtSl8wY3FmSDFRSnE5cks1b0lwNFd1LUhrZ3dWckJ1a2FWLXUtWFVRRUs1akVCOE9rRDEyS3ZObzVJOS1xc0t2TEFYbXU2TzFXV0I0LVRJMmYzcVZNNnBwR2YyNDRLdGtLTnlOYnN3b1podXhTbHRZbFd0U1hHUmdXY0QyOTFORGJETzVUTDNPdlMyZw?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi7wFBVV95cUxQNENkR1VLc0d3Q3pRbi01cEdQdm5NWjNvRjlSdFhMTVI3ME1BLUp1aTdTaGdVNTRtSzFVQ1VqYmFXZy10QXRYVTZnS1FZNjdrS0k1NWtyemNMbW9BOGxTWHZvSVdtSl8wY3FmSDFRSn",Sodre Uruguay
2025-05-21 07:00,ANEP,Estudiantes de escuelas rurales de todo el país visitaron el Sodre en Montevideo - ANEP,https://news.google.com/rss/articles/CBMiogFBVV95cUxNM0hObGxXWkRIeVlDZ3Q2MlN3YmZxaHF2d0d3WmFmZTNiTEUyS3FrcGxBeEI1U0xFUHlGRW5UTDBfT0FJcWZadW43blZBYzY3UUg5czg4WnJYTFBkWUtTeU5VRURJNUdMZXFoZ01rQjcyY1dycWRGdGtvNDU0dk0taWRjcHBKajNSNTBPemZoWlNwTWlSS2kxMTUweUxobldZS2c?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMiogFBVV95cUxNM0hObGxXWkRIeVlDZ3Q2MlN3YmZxaHF2d0d3WmFmZTNiTEUyS3FrcGxBeEI1U0xFUHlGRW5UTDBfT0FJcWZadW43blZBYzY3UUg5czg4WnJYTFBkWUtTeU5VRURJNUdMZXFoZ01rQj",Sodre Uruguay
2025-02-24 08:00,ladiaria.com.uy,Las escuelas del Sodre tienen un nuevo edificio ubicado en el centro de Montevideo - ladiaria.com.uy,https://news.google.com/rss/articles/CBMizgFBVV95cUxPd1BDT01fVGFYNTBCclgtSkUybnBzaVNQSzNtb0EwUXlzMFVMRXB3cWdxV3Q5aVdGNS1sajVSY01ZS1MyZ1FsaEJkbnZjWEJiUWUyZDdtZEJVcnZ3M1ZfQ0FtYWplTmVCRE5qZHI1ZElVMzVacHpYcDVOc1ZMbW1tdVZJOTdmUTZTOXUxZEFzQlhpOWpHa09NbzRxTTlSNW9QajItSWdFaERfM2ZIbWV2OGNRS3lmcWh6YWMzTmg5a3ZQdnB2QzlNZk5pYmRxZ9IB3gFBVV95cUxOVlBmNVVqdERpZmNxMDgtSV9lRjhSTUoxb0d6b1k0MmtLRUNTbzBPUDBIYnlyaVk1eFBwOFQyUU1qRnVUN1BhbkppSnB1YUNnVFBiLVBCYkhKLUNoT1pFcDQxNUkwY0VoS1JyUDB1LTdLOHlDdTZsWWhFQzNjcGluS1FUZm9MVUZ1Ui1NdFY0b2VjRmNvMXpqbDdKV3k5LTluckpaYnRLeXFGRzBCRmJQNkw1TXJRR1F1dFVIRTJYbENZWWpsamxYRkF6dU9Pcl9aUGVSbXBENXdqTnZQMHc?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMizgFBVV95cUxPd1BDT01fVGFYNTBCclgtSkUybnBzaVNQSzNtb0EwUXlzMFVMRXB3cWdxV3Q5aVdGNS1sajVSY01ZS1MyZ1FsaEJkbnZjWEJiUWUyZDdtZEJVcnZ3M1ZfQ0FtYWplTmVCRE5qZHI1ZE",Sodre Uruguay
2025-10-06 07:00,Telenoche,"Martinho Da Vila vuelve a Uruguay y se presentará en el Sodre con el show ""Voz do coração"" - Telenoche",https://news.google.com/rss/articles/CBMiygFBVV95cUxPblBHak9XRzhoNllVMzBsb3lqQUZjbWhiLVFJWWQ1R2hLN196OXFqWTVSVXJMclozOUpOcFNmLVdGX243R3QwRlRzbHYwRHdjQkFiaEZ3NGNxd1prUi1iRURfeml5QXpaUVpmdVpjam1tcVlJVnpEUEZXTHc0RWJkWllNcGNTb1ZfbEVxY3RPY3p2TGQ4RkhCdkpSUkJ2RndTanFncTVIM1NhRHdVZnhoQkNfeEtDUUpvZTBtNWM3aDBOcHRtNXFtWlpn0gHPAUFVX3lxTFBSVDdxZXpURG9CMjVuUlZ0NThad2hkc3I4ek52OXZtY2R3SDlGNUlvTHNBRURHSHFLMFFhcE5EdWNWTTZZMWdBeE40SUpuSFVzVHVUbkpNR3BQTlZLSldBNXJxRko0Y2JxN1FXLUhiOVpvV3Q3b0RZaGxObk56Z1lFRnFvcklCMDhWbnhpMzByTG1FR3lFaHZ1dWdQOF9YeVNJeEJFZW1Tak5NMDVLWGxXVFRsSHBjMDBlM1oybl90cGh6a0g0M1lWVHlmOUZrZw?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMiygFBVV95cUxPblBHak9XRzhoNllVMzBsb3lqQUZjbWhiLVFJWWQ1R2hLN196OXFqWTVSVXJMclozOUpOcFNmLVdGX243R3QwRlRzbHYwRHdjQkFiaEZ3NGNxd1prUi1iRURfeml5QXpaUVpmdVpjam",Sodre Uruguay
2025-12-02 08:00,Clarin.com,"Mauricio Wainrot y un presente lleno de reconocimientos: estreno en Montevideo, un Martín Fierro ganado y otra nominación - Clarin.com",https://news.google.com/rss/articles/CBMi5wFBVV95cUxOek5jVFNsV005WkRfSGV4U0E1ZWhpUUVaRWFSRkxnejRzZUlsY0JoV2IxaDh6ZUFteERYaUttX0xSQWM1bGZOUF9TSkdQS2ZYbmlPdmdVbHpoVW5IN0xRMFd1NlRYNm5TYUVaY0wyYjJIeUhaRzdFZlg4LUJyOHJrLTJZU1dRTVVFR2dIalN5REswWURSNWlLS1Y4NmFEdmtpS0ZLSUNkQTJ6ZEpHWnhxZWxXZllLVmxaYXBRS2xKWl9oWlhfcGNWenhsWm56RnFaQTBIY2ZCamUzZmhvUHRLdUhkaUNYemvSAewBQVVfeXFMT2Z3ZDFmZVRXUmpnQzBNQ1JucF9IaDNQTGlZSVBFY3ZtNnR5OGtQMlhqbFZVbnBMeUtIbG1mUkc3cnBBMk5jTHRPWEVVdE1mTV9Gb056ZFppT1l2QVM2Q2t5T2U3TDktbEFVdWM4QjQySXVjZnNKOE02WmczWTlPWnljSkUzMDFxdjItSWhCTUJlMGZmcVlBLUFlbUgyb2d0bHdCa0lQbjMyVV95T09pRVZ3ZXNULVhxSXBfTVhoSk5ka0hGcWtNUFppdWFkM3BoLTFJb1R3LTY3S1dOdkR1Ni1VZWxQeUQzX2NHcHc?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi5wFBVV95cUxOek5jVFNsV005WkRfSGV4U0E1ZWhpUUVaRWFSRkxnejRzZUlsY0JoV2IxaDh6ZUFteERYaUttX0xSQWM1bGZOUF9TSkdQS2ZYbmlPdmdVbHpoVW5IN0xRMFd1NlRYNm5TYUVaY0wyYj",Sodre Uruguay
2025-11-12 08:00,lamañana.uy,El Sodre en manos de un músico dedicado - lamañana.uy,https://news.google.com/rss/articles/CBMikwFBVV95cUxPcjNCQVJxbngtSXp6NTN1UUpfUTV4Ul81MWNva0tYdHJsMkNidm9yMzVUT25fS25kQXBvZVlMU1dGSG9Id29YZU5oek5uU05GMVNvNHUtS3hFeHM4UXpuN0RpZXkzMnpKR09KRWdtREFETzlpNGctLXN0UHRmbkVhc3hpY3NvWnpITV9NRlF6ZU02RWM?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMikwFBVV95cUxPcjNCQVJxbngtSXp6NTN1UUpfUTV4Ul81MWNva0tYdHJsMkNidm9yMzVUT25fS25kQXBvZVlMU1dGSG9Id29YZU5oek5uU05GMVNvNHUtS3hFeHM4UXpuN0RpZXkzMnpKR09KRWdtRE",Sodre Uruguay
2025-10-31 07:00,Montevideo Portal,Removieron al director de la Orquesta Sinfónica del Sodre y dijo que no le dieron motivos - Montevideo Portal,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQM1ZhdVE2d1dveS1YZzduc1hqTl8wSnZfSVVjUVlWM0cwbGtnX2hJaG9rbnRKWFNJVG53Z0NRUjBYNzVCYWp6bVVGYmR5YVZmUzNFdzB0SzM0QzJfMGZiem1EM2Q1clZRd0NwTmRTemhlZEpxNGpjeGlfaWRTSktwMkZyelpGZU5YZTkwTmZYc2o2Z2R1dnpJTERBTjdfYlFUM3Y5ZzR4MUNjSkxfRVk0NkIwN1ZQZkxuM3FDeXNEWkpDYjJCUkl1ZlJoWEpQcnJjbG8w0gH3AUFVX3lxTE1aVGhiM2M4Yms4Z3pZanNRaXl0c3Z3VUtOV2ExSG1COU1zMFpmcm5KNDN6dXFKU2ludFZCclJ2WW5jUkNhS0N2cjYwZlZYbEJmbEdOX1Qza2hUWGJoM3ZBTU55bmIyQWRETzM2b3VGUEpQdUFQdlcwM2gtQXVkTjNwcHBYNFJkbjZCT2RuTG9pSnVEM0xmNHh2SjFMMTdKQzJyT0dlX09sRnlkUFZ3QTdWLS01SHdvakNwNjBSd1VlWXkyMUhwZS1KY0VuVzEtVDU1bVZpZ1VZdHJTLTRJSjlrR0dpS21yRVJra01ZNmRaSXRwYVdKWmc?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi0wFBVV95cUxQM1ZhdVE2d1dveS1YZzduc1hqTl8wSnZfSVVjUVlWM0cwbGtnX2hJaG9rbnRKWFNJVG53Z0NRUjBYNzVCYWp6bVVGYmR5YVZmUzNFdzB0SzM0QzJfMGZiem1EM2Q1clZRd0NwTmRTem",Sodre Uruguay
2025-09-22 07:00,El Observador,Natalia Lafourcade se presentará por primera vez en Uruguay en 2026: los detalles del show en el Auditorio del Sodre - El Observador,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPUURLbHV2ay14R2NjZW5Gd2RMemowTXlKMm1CM3ZfYUswWkROdDA0VHlDZ21GWW9PSzBaOFRuUEhkcGZicnBycXQ2Y1BlbzdSZmVxYzVhXzlkY3hHanp2U0ZRSE1XVjBCanFQSlotNmdCdElPLTgzam5xUWlGRE1uS0tYWjVfQ200bXFPbVhnMTN4TnlBR0NjOU9VajBhalMwY0wwM2UyNkJPVUtWOHUwRFhVcENaQlJaOXBwTmtjajJOenlTSG9OekxlQjNMY2VSY25meDVQZXB2YURIbXdCeWpDSDY1QXNQT3J4VE8xQjlhREg1Si1lZk9n0gH_AUFVX3lxTE0tWGVUcENKTGNPNWstUElJLVhoUTA3c0pQeXdHM0xXU25JdV9fVXUwaGJLY1BuSlZzUDBlQ0NkV2MzV2lMdE8xRUxEVklCQ0RkNUdHd0dYZndmVzNGamRxZVo4ejBsNC0yLUFHNFBKSVRicWZKck03WUY5WWxQNHFMUHRNdS1yejJHcUJNRXpZNnhtUTdmZjFZNUFacmVVM1FDYVltRzlZakczbGpPVjJKR2l0Vy1sSzFTNWlVdDdvWl95TTVnWi1fdVlIMHoxcDdPdjQySUU1djZzc1hHT0psU01uZmFCaXkxZWJSd29iMVBaWUZBMHROcU5ETzkwOA?oc=5,Histórico 2025,No analizado,No analizado,No analizado,-,"<a href=""https://news.google.com/rss/articles/CBMi-gFBVV95cUxPUURLbHV2ay14R2NjZW5Gd2RMemowTXlKMm1CM3ZfYUswWkROdDA0VHlDZ21GWW9PSzBaOFRuUEhkcGZicnBycXQ2Y1BlbzdSZmVxYzVhXzlkY3hHanp2U0ZRSE1XVjBCanFQSlotNm",Sodre Uruguay
